"","PlayerYID","fantasy.points","pos","Name","isPG","isSG","isSF","isPF","isC","cost"
"1","abrinal012018",392.997552871704,"SG","Alex Abrines",0,1,0,0,0,1
"2","adamsja012018",433.170495986938,"PG","Jaylen Adams",1,0,0,0,0,1
"3","adamsst012018",1549.81639099121,"C","Steven Adams",0,0,0,0,1,27
"4","adebaba012018",1265.60411071777,"C","Bam Adebayo",0,0,0,0,1,19
"5","aldrila012018",1821.19927978516,"C","LaMarcus Aldridge",0,0,0,0,1,34
"6","allengr012018",306.500372409821,"SG","Grayson Allen",0,1,0,0,0,1
"7","allenja012018",1425.20325469971,"C","Jarrett Allen",0,0,0,0,1,24
"8","allenka012018",897.279769897461,"SG","Kadeem Allen",0,1,0,0,0,10
"9","aminual012018",1084.29519271851,"PF","Al-Farouq Aminu",0,0,0,1,0,15
"10","anderju012018",367.891535758972,"SF","Justin Anderson",0,0,1,0,0,1
"11","anderky012018",1096.09436035156,"SF","Kyle Anderson",0,0,1,0,0,18
"12","anderry012018",236.44339132309,"PF","Ryan Anderson",0,0,0,1,0,1
"13","antetgi012018",2698.83144378662,"PF","Giannis Antetokounmpo",0,0,0,1,0,57
"14","anunoog012018",650.749565124512,"SF","OG Anunoby",0,0,1,0,0,6
"15","arcidry012018",804.622497558594,"PG","Ryan Arcidiacono",1,0,0,0,0,8
"16","arizatr012018",1113.77536010742,"SF","Trevor Ariza",0,0,1,0,0,18
"17","augusdj012018",1031.1194858551,"PG","D.J. Augustin",1,0,0,0,0,13
"18","aytonde012018",1778.11568450928,"C","Deandre Ayton",0,0,0,0,1,33
"19","bacondw012018",591.740119934082,"SG","Dwayne Bacon",0,1,0,0,0,2
"20","baglema012018",1325.81253814697,"PF","Marvin Bagley",0,0,0,1,0,21
"21","balllo012018",1143.42538070679,"PG","Lonzo Ball",1,0,0,0,0,16
"22","bambamo012018",816.211772918701,"C","Mohamed Bamba",0,0,0,0,1,8
"23","bareajo012018",827.859464645386,"PG","J.J. Barea",1,0,0,0,0,8
"24","barneha022018",1079.95572471619,"PF-SF","Harrison Barnes",0,0,1,1,0,17
"25","bartowi012018",886.919193267822,"SG","Will Barton",0,1,0,0,0,10
"26","bateske012018",514.429656028748,"SF","Keita Bates-Diop",0,0,1,0,0,2
"27","batumni012018",1032.71440124512,"SF","Nicolas Batum",0,0,1,0,0,16
"28","bayleje012018",482.377721786499,"PG","Jerryd Bayless",1,0,0,0,0,1
"29","baynear012018",680.250377655029,"C","Aron Baynes",0,0,0,0,1,4
"30","bazemke012018",892.544290542603,"SG","Kent Bazemore",0,1,0,0,0,10
"31","bealbr012018",1874.37459564209,"SG","Bradley Beal",0,1,0,0,0,35
"32","beaslma012018",861.347135543823,"SG","Malik Beasley",0,1,0,0,0,9
"33","beaslmi012018",491.060450553894,"PF","Michael Beasley",0,0,0,1,0,1
"34","belinma012018",685.891662597656,"SG","Marco Belinelli",0,1,0,0,0,5
"35","belljo012018",536.411375045776,"C","Jordan Bell",0,0,0,0,1,1
"36","bembrde012018",907.492546081543,"SG","DeAndre' Bembry",0,1,0,0,0,10
"37","bendedr012018",654.536775588989,"PF","Dragan Bender",0,0,0,1,0,4
"38","bertada012018",779.838005065918,"PF","Davis Bertans",0,0,0,1,0,7
"39","beverpa012018",970.453893661499,"PG","Patrick Beverley",1,0,0,0,0,12
"40","birchkh012018",661.348812103271,"C","Khem Birch",0,0,0,0,1,4
"41","biyombi012018",656.797183990479,"C","Bismack Biyombo",0,0,0,0,1,4
"42","bjeline012018",1015.74925613403,"PF","Nemanja Bjelica",0,0,0,1,0,13
"43","blakean012018",492.164887428284,"SG","Antonio Blakeney",0,1,0,0,0,1
"44","bledser012018",1430.54096221924,"PG","Eric Bledsoe",1,0,0,0,0,24
"45","blossja012018",507.28936958313,"SF","Jaron Blossomgame",0,0,1,0,0,2
"46","bogdabo012018",1062.31929969788,"SG","Bogdan Bogdanovic",0,1,0,0,0,14
"47","bogdabo022018",1223.42444419861,"SF","Bojan Bogdanovic",0,0,1,0,0,21
"48","boldejo012018",651.089193344116,"PF","Jonah Bolden",0,0,0,1,0,4
"49","bookede012018",1818.04839324951,"SG","Devin Booker",0,1,0,0,0,34
"50","bouchch012018",403.297601699829,"PF","Chris Boucher",0,0,0,1,0,1
"51","bradlav012018",698.183654785156,"SG","Avery Bradley",0,1,0,0,0,5
"52","breweco012018",499.343375205994,"SF","Corey Brewer",0,0,1,0,0,2
"53","bridgmi012018",927.33323097229,"SF","Mikal Bridges",0,0,1,0,0,13
"54","bridgmi022018",838.322797775269,"SF","Miles Bridges",0,0,1,0,0,11
"55","briscis012018",454.589595794678,"PG","Isaiah Briscoe",1,0,0,0,0,1
"56","broekry012018",337.61273765564,"SG","Ryan Broekhoff",0,1,0,0,0,1
"57","brogdma012018",1291.19571876526,"SG","Malcolm Brogdon",0,1,0,0,0,20
"58","brookdi012018",470.439316749573,"SF","Dillon Brooks",0,0,1,0,0,1
"59","brookma012018",391.280096054077,"SG","MarShon Brooks",0,1,0,0,0,1
"60","brownbr012018",546.311111450195,"SG","Bruce Brown",0,1,0,0,0,1
"61","brownja022018",1012.35977745056,"SG","Jaylen Brown",0,1,0,0,0,13
"62","brownlo012018",231.129867553711,"PG","Lorenzo Brown",1,0,0,0,0,1
"63","brownst022018",649.115666389465,"SG","Sterling Brown",0,1,0,0,0,4
"64","browntr012018",553.653509140015,"SF","Troy Brown",0,0,1,0,0,3
"65","brunsja012018",812.411581039429,"PG","Jalen Brunson",1,0,0,0,0,8
"66","bryanth012018",1243.64643859863,"C","Thomas Bryant",0,0,0,0,1,19
"67","bullore012018",785.485389709473,"SG","Reggie Bullock",0,1,0,0,0,7
"68","burketr012018",749.098875045776,"PG","Trey Burke",1,0,0,0,0,6
"69","burksal012018",747.56120300293,"SG","Alec Burks",0,1,0,0,0,6
"70","burtode022018",227.763516902924,"SG","Deonte Burton",0,1,0,0,0,1
"71","butleji012018",1568.47740936279,"SF-SG","Jimmy Butler",0,1,1,0,0,30
"72","cabocbr012018",859.912767410278,"SF","Bruno Caboclo",0,0,1,0,0,11
"73","caldejo012018",312.370317935944,"PG","Jose Calderon",1,0,0,0,0,1
"74","caldwke012018",840.578435897827,"SG","Kentavious Caldwell-Pope",0,1,0,0,0,9
"75","canaais012018",519.612173080444,"PG","Isaiah Canaan",1,0,0,0,0,1
"76","capelca012018",2003.99261474609,"C","Clint Capela",0,0,0,0,1,39
"77","carrode012018",829.663333892822,"PF","DeMarre Carroll",0,0,0,1,0,8
"78","carteje012018",422.343996047974,"PG","Jevon Carter",1,0,0,0,0,1
"79","cartevi012018",586.617114067078,"SF","Vince Carter",0,0,1,0,0,4
"80","cartewe012018",1186.92344284058,"C","Wendell Carter",0,0,0,0,1,17
"81","cartemi012018",534.778962135315,"PG","Michael Carter-Williams",1,0,0,0,0,1
"82","carusal012018",823.341932296753,"PG","Alex Caruso",1,0,0,0,0,8
"83","casspom012018",580.493366241455,"SF","Omri Casspi",0,0,1,0,0,4
"84","caulewi012018",1394.62279510498,"C","Willie Cauley-Stein",0,0,0,0,1,23
"85","chandty012018",615.406998634338,"C","Tyson Chandler",0,0,0,0,1,3
"86","chandwi012018",647.484387397766,"PF-SF","Wilson Chandler",0,0,1,1,0,6
"87","chrisma012018",477.090571403503,"PF","Marquese Chriss",0,0,0,1,0,1
"88","clarkga012018",405.353709220886,"PF","Gary Clark",0,0,0,1,0,1
"89","clarkia012018",439.910196304321,"SG","Ian Clark",0,1,0,0,0,1
"90","clarkjo012018",1062.92567253113,"SG","Jordan Clarkson",0,1,0,0,0,14
"91","collijo012018",1796.59746551514,"PF","John Collins",0,0,0,1,0,33
"92","colliza012018",782.28875541687,"C","Zach Collins",0,0,0,0,1,7
"93","collida012018",1145.87190818787,"PG","Darren Collison",1,0,0,0,0,16
"94","conlemi012018",1544.38703155518,"PG","Mike Conley",1,0,0,0,0,27
"95","connapa012018",812.362001419067,"SG","Pat Connaughton",0,1,0,0,0,8
"96","cookqu012018",571.364459991455,"PG","Quinn Cook",1,0,0,0,0,2
"97","couside012018",1546.41213226318,"C","DeMarcus Cousins",0,0,0,0,1,27
"98","covinro012018",1198.98841667175,"SF","Robert Covington",0,0,1,0,0,20
"99","crabbal012018",654.775719642639,"SG","Allen Crabbe",0,1,0,0,0,4
"100","craigto012018",623.490509986877,"SF","Torrey Craig",0,0,1,0,0,5
"101","crawfja012018",591.904890060425,"SG","Jamal Crawford",0,1,0,0,0,2
"102","crowdja012018",922.167566299438,"SF","Jae Crowder",0,0,1,0,0,13
"103","cunnida012018",436.573190689087,"PF","Dante Cunningham",0,0,0,1,0,1
"104","curryse012018",541.085231781006,"SG","Seth Curry",0,1,0,0,0,1
"105","curryst012018",1941.73625183105,"PG","Stephen Curry",1,0,0,0,0,37
"106","danietr012018",407.959650039673,"SG","Troy Daniels",0,1,0,0,0,1
"107","davisan022018",2509.6083984375,"C","Anthony Davis",0,0,0,0,1,52
"108","davised012018",994.651329040527,"C","Ed Davis",0,0,0,0,1,13
"109","dedmode012018",1241.88839530945,"C","Dewayne Dedmon",0,0,0,0,1,19
"110","dekkesa012018",625.773401260376,"PF","Sam Dekker",0,0,0,1,0,3
"111","dellama012018",549.167922019958,"PG","Matthew Dellavedova",1,0,0,0,0,1
"112","denglu012018",631.915096282959,"SF","Luol Deng",0,0,1,0,0,6
"113","derozde012018",1710.36051940918,"SG","DeMar DeRozan",0,1,0,0,0,31
"114","diallch012018",853.899244308472,"PF","Cheick Diallo",0,0,0,1,0,9
"115","diallha012018",401.601493835449,"SG","Hamidou Diallo",0,1,0,0,0,1
"116","dienggo012018",726.684820175171,"C","Gorgui Dieng",0,0,0,0,1,6
"117","dinwisp012018",1146.63585662842,"PG","Spencer Dinwiddie",1,0,0,0,0,16
"118","divindo012018",512.089951515198,"SG","Donte DiVincenzo",0,1,0,0,0,1
"119","doncilu012018",1722.40758514404,"SG","Luka Doncic",0,1,0,0,0,31
"120","dorsety012018",523.305307388306,"SG","Tyler Dorsey",0,1,0,0,0,1
"121","dotsoda012018",836.550834655762,"SG","Damyean Dotson",0,1,0,0,0,8
"122","dragigo012018",958.568000793457,"PG","Goran Dragic",1,0,0,0,0,12
"123","drumman012018",2121.53260040283,"C","Andre Drummond",0,0,0,0,1,42
"124","dudleja012018",502.241006851196,"PF","Jared Dudley",0,0,0,1,0,1
"125","dunnkr012018",1148.62795639038,"PG","Kris Dunn",1,0,0,0,0,16
"126","duranke012018",2083.67723083496,"PF","Kevin Durant",0,0,0,1,0,41
"127","ellenhe012018",611.450325965881,"PF","Henry Ellenson",0,0,0,1,0,3
"128","ellinwa012018",659.923358917236,"SG","Wayne Ellington",0,1,0,0,0,4
"129","embiijo012018",2470.48773193359,"C","Joel Embiid",0,0,0,0,1,51
"130","ennisja012018",631.351655960083,"SF","James Ennis",0,0,1,0,0,5
"131","evansty012018",689.88117980957,"SG","Tyreke Evans",0,1,0,0,0,5
"132","exumda012018",564.165874481201,"PG","Dante Exum",1,0,0,0,0,1
"133","farieke012018",1045.67931556702,"C","Kenneth Faried",0,0,0,0,1,14
"134","favorde012018",1314.58611679077,"C","Derrick Favors",0,0,0,0,1,21
"135","feliccr012018",516.594033241272,"C","Cristiano Felicio",0,0,0,0,1,1
"136","feltora012018",345.024343490601,"PG","Raymond Felton",1,0,0,0,0,1
"137","fergute012018",591.818829536438,"SG","Terrance Ferguson",0,1,0,0,0,2
"138","ferreyo012018",539.476044654846,"PG","Yogi Ferrell",1,0,0,0,0,1
"139","finnedo012018",806.224294662476,"SF","Dorian Finney-Smith",0,0,1,0,0,10
"140","forbebr012018",879.194000244141,"SG","Bryn Forbes",0,1,0,0,0,10
"141","fournev012018",1060.10729789734,"SG","Evan Fournier",0,1,0,0,0,14
"142","foxde012018",1545.82093048096,"PG","De'Aaron Fox",1,0,0,0,0,27
"143","fraziti012018",693.469524383545,"PG","Tim Frazier",1,0,0,0,0,5
"144","fryech012018",265.383950233459,"C","Channing Frye",0,0,0,0,1,1
"145","fultzma012018",770.566850662231,"SG","Markelle Fultz",0,1,0,0,0,7
"146","gallida012018",1514.80191802979,"SF","Danilo Gallinari",0,0,1,0,0,28
"147","gallola012018",563.858543395996,"SG","Langston Galloway",0,1,0,0,0,1
"148","gasolma012018",1464.42964935303,"C","Marc Gasol",0,0,0,0,1,25
"149","gasolpa012018",608.592733383179,"C","Pau Gasol",0,0,0,0,1,2
"150","gayru012018",1274.77798271179,"PF","Rudy Gay",0,0,0,1,0,20
"151","georgpa012018",2083.17455291748,"SF","Paul George",0,0,1,0,0,43
"152","gibsota012018",1112.25809860229,"PF","Taj Gibson",0,0,0,1,0,16
"153","gilesha012018",740.630144119263,"PF","Harry Giles",0,0,0,1,0,6
"154","gilgesh012018",1027.40382957458,"PG","Shai Gilgeous-Alexander",1,0,0,0,0,13
"155","goberru012018",2079.2181930542,"C","Rudy Gobert",0,0,0,0,1,41
"156","gordoaa012018",1438.99045562744,"PF","Aaron Gordon",0,0,0,1,0,24
"157","gordoer012018",862.894348144531,"SG","Eric Gordon",0,1,0,0,0,9
"158","gortama012018",700.491844177246,"C","Marcin Gortat",0,0,0,0,1,5
"159","grahade012018",469.180041313171,"PG","Devonte' Graham",1,0,0,0,0,1
"160","grahatr012018",470.704888343811,"SG","Treveon Graham",0,1,0,0,0,1
"161","grantje012018",1213.22034835815,"PF","Jerami Grant",0,0,0,1,0,18
"162","grantje022018",512.905708312988,"PG","Jerian Grant",1,0,0,0,0,1
"163","greenda022018",932.843685150146,"SG","Danny Green",0,1,0,0,0,11
"164","greendr012018",1359.43487167358,"PF","Draymond Green",0,0,0,1,0,22
"165","greenge012018",579.670454025269,"SG","Gerald Green",0,1,0,0,0,2
"166","greenja012018",952.026149749756,"PF","JaMychal Green",0,0,0,1,0,11
"167","greenje022018",976.76958656311,"PF","Jeff Green",0,0,0,1,0,12
"168","griffbl012018",1797.23965454102,"PF","Blake Griffin",0,0,0,1,0,33
"169","hamilda022018",376.947402000427,"SG","Daniel Hamilton",0,1,0,0,0,1
"170","hardati022018",1046.70015525818,"SG","Tim Hardaway",0,1,0,0,0,14
"171","hardeja012018",2536.13740539551,"PG","James Harden",1,0,0,0,0,52
"172","harklma012018",881.995248794556,"SF","Maurice Harkless",0,0,1,0,0,12
"173","harremo012018",1546.51316833496,"C","Montrezl Harrell",0,0,0,0,1,27
"174","harride012018",473.269069671631,"PG","Devin Harris",1,0,0,0,0,1
"175","harriga012018",907.398313522339,"SG","Gary Harris",0,1,0,0,0,10
"176","harrijo012018",1060.99879264832,"SG","Joe Harris",0,1,0,0,0,14
"177","harrito022018",1650.58908081055,"PF","Tobias Harris",0,0,0,1,0,29
"178","harrian012018",313.71238899231,"PG","Andrew Harrison",1,0,0,0,0,1
"179","harrish012018",703.810237884521,"PG","Shaquille Harrison",1,0,0,0,0,5
"180","hartjo012018",775.798986434937,"SG","Josh Hart",0,1,0,0,0,7
"181","harteis012018",364.112301826477,"PF","Isaiah Hartenstein",0,0,0,1,0,1
"182","haywago012018",1068.37825775146,"PF","Gordon Hayward",0,0,0,1,0,14
"183","hensojo012018",702.4427318573,"C","John Henson",0,0,0,0,1,5
"184","hernaju012018",660.078353881836,"PF","Juan Hernangomez",0,0,0,1,0,4
"185","hernawi012018",821.568248748779,"C","Willy Hernangomez",0,0,0,0,1,8
"186","hezonma012018",754.832281112671,"SF","Mario Hezonja",0,0,1,0,0,9
"187","hieldbu012018",1416.72998809814,"SG","Buddy Hield",0,1,0,0,0,23
"188","hilarne012018",451.676089286804,"C","Nene Hilario",0,0,0,0,1,1
"189","hillge012018",669.258560180664,"PG","George Hill",1,0,0,0,0,4
"190","hillso012018",477.316025733948,"SF","Solomon Hill",0,0,1,0,0,2
"191","holidaa012018",518.939798355103,"PG","Aaron Holiday",1,0,0,0,0,1
"192","holidjr012018",1764.83491516113,"SG","Jrue Holiday",0,1,0,0,0,32
"193","holidju012018",881.089834213257,"SG","Justin Holiday",0,1,0,0,0,10
"194","holliro012018",822.15655708313,"SF","Rondae Hollis-Jefferson",0,0,1,0,0,10
"195","holmeri012018",964.551494598389,"C","Richaun Holmes",0,0,0,0,1,12
"196","hoodro012018",789.345170974731,"SG","Rodney Hood",0,1,0,0,0,7
"197","horfoal012018",1490.59955596924,"C","Al Horford",0,0,0,0,1,25
"198","houseda012018",794.591070175171,"SF","Danuel House",0,0,1,0,0,10
"199","huertke012018",887.19962310791,"SG","Kevin Huerter",0,1,0,0,0,10
"200","hutchch012018",644.008339881897,"SF","Chandler Hutchison",0,0,1,0,0,6
"201","ibakase012018",1424.18882751465,"C","Serge Ibaka",0,0,0,0,1,24
"202","iguodan012018",826.775281906128,"SF","Andre Iguodala",0,0,1,0,0,11
"203","ilyaser012018",662.963356018066,"PF","Ersan Ilyasova",0,0,0,1,0,4
"204","inglejo012018",1161.97832489014,"PF","Joe Ingles",0,0,0,1,0,17
"205","ingrabr012018",1301.09396934509,"SF","Brandon Ingram",0,0,1,0,0,23
"206","irvinky012018",1918.87457275391,"PG","Kyrie Irving",1,0,0,0,0,36
"207","isaacjo012018",1044.84357833862,"PF","Jonathan Isaac",0,0,0,1,0,14
"208","iwundwe012018",549.197130203247,"SF","Wesley Iwundu",0,0,1,0,0,3
"209","jacksfr012018",598.41698551178,"PG","Frank Jackson",1,0,0,0,0,2
"210","jacksja022018",1193.68918418884,"PF","Jaren Jackson",0,0,0,1,0,18
"211","jacksjo022018",942.656852722168,"SG","Josh Jackson",0,1,0,0,0,11
"212","jacksju012018",646.06178855896,"SF","Justin Jackson",0,0,1,0,0,6
"213","jacksre012018",1035.30442810059,"PG","Reggie Jackson",1,0,0,0,0,14
"214","jamesle012018",2213.4303817749,"SF","LeBron James",0,0,1,0,0,46
"215","jenkijo012018",332.545919418335,"SG","John Jenkins",0,1,0,0,0,1
